,Seed,Metric,KernelMix,ExtraTrees,KNN
0,479714280,0.93625,0.97625,0.9125,0.97375
1,1298808896,0.95625,0.98,0.94375,0.96875
2,883853812,0.93625,0.9775,0.90375,0.96375
3,1113952928,0.93125,0.97625,0.91375,0.96125
4,56784244,0.9575,0.98375,0.9225,0.98375
5,3167114256,0.95375,0.98,0.94125,0.98375
6,3525719872,0.95375,0.9725,0.90875,0.96875
7,204287392,0.93,0.97875,0.9,0.96875
8,764524308,0.9425,0.9775,0.92875,0.9725
9,526815024,0.93875,0.975,0.92125,0.97375
10,3687758936,0.9425,0.98375,0.88375,0.97625
11,3602912452,0.94625,0.97625,0.915,0.98
12,1565886172,0.95375,0.98,0.9125,0.98125
13,2190540188,0.9675,0.9775,0.9425,0.98125
14,2892714204,0.94875,0.98125,0.9325,0.97625
15,480643920,0.92,0.97375,0.89625,0.97
16,2530055332,0.96125,0.97625,0.9425,0.97
17,1714163348,0.94,0.9775,0.90375,0.97375
18,2755217460,0.96375,0.98375,0.92375,0.9775
19,2013268076,0.945,0.9775,0.92375,0.98625
