Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.9653614457831325,0.9683734939759037,0.9578313253012049,0.9652913717813583,0.986844350750389,0.952306379561311,0.9505376344086022,0.9550321199143469,0.9385964912280702
1,0.9503012048192772,0.963855421686747,0.9382530120481928,0.9424233298198063,0.9890578728103198,0.9228881192591477,0.9271523178807947,0.9475982532751092,0.9070294784580499
2,0.9533132530120482,0.9653614457831325,0.9548192771084337,0.9488581036992421,0.9896903076845858,0.9531094714651407,0.9324618736383442,0.9501084598698482,0.9353448275862069
3,0.9412650602409639,0.9442771084337349,0.9563253012048193,0.9282889123124027,0.9880138533353411,0.9480550117954123,0.9123595505617977,0.9172259507829977,0.9356984478935698
4,0.9578313253012049,0.9608433734939759,0.9307228915662651,0.9533403603874918,0.9837524469206446,0.9150730311700045,0.9388646288209607,0.9439655172413793,0.8959276018099548
5,0.9307228915662651,0.9563253012048193,0.9352409638554217,0.9078351653867388,0.9872659739998997,0.9133514029011696,0.8925233644859814,0.9348314606741573,0.8997668997668997
6,0.9487951807228916,0.9503012048192772,0.9397590361445783,0.9350700195753651,0.9894142448426442,0.9188676404156,0.9230769230769231,0.9255079006772009,0.9069767441860465
7,0.9442771084337349,0.9457831325301205,0.9231927710843374,0.9295537820609346,0.990137027556091,0.9020880389499573,0.9160997732426304,0.9192825112107623,0.8822170900692841
8,0.9548192771084337,0.9593373493975904,0.9608433734939759,0.9438036440295134,0.9883752446920644,0.9556392109622045,0.9327354260089686,0.9406593406593406,0.9429824561403509
9,0.9382530120481928,0.9322289156626506,0.8855421686746988,0.9177182151282437,0.9873763991366762,0.8423329819806255,0.9048723897911833,0.8955916473317865,0.8090452261306532
10,0.963855421686747,0.9623493975903614,0.963855421686747,0.9589720423630979,0.9916930181197611,0.9569040807107363,0.9473684210526315,0.945054945054945,0.9469026548672567
11,0.9307228915662651,0.9322289156626506,0.9307228915662651,0.9088691462129197,0.9878482156301762,0.9068011845605581,0.8930232558139535,0.8951048951048951,0.892018779342723
12,0.9578313253012049,0.9593373493975904,0.9578313253012049,0.9481704562565879,0.9879084475229635,0.9502384179089495,0.9375,0.9398663697104677,0.9380530973451328
13,0.9352409638554217,0.9397590361445783,0.9533132530120482,0.9195552878582544,0.9854389399186869,0.9447221803945189,0.9024943310657596,0.9099099099099099,0.9312638580931264
14,0.9593373493975904,0.963855421686747,0.9608433734939759,0.955523766501029,0.9906339406715856,0.958741153440747,0.9411764705882353,0.9478260869565217,0.9437229437229437
15,0.9578313253012049,0.9578313253012049,0.9518072289156626,0.9502384179089495,0.9897806555237665,0.9456407167595242,0.9380530973451328,0.9385964912280702,0.9298245614035088
16,0.9578313253012049,0.9593373493975904,0.9593373493975904,0.9533403603874918,0.9894493801134367,0.9544897856748482,0.9388646288209607,0.9409190371991247,0.9409190371991247
17,0.9337349397590361,0.9457831325301205,0.9487951807228916,0.9153039200923556,0.987080258997139,0.9505797319680772,0.8990825688073395,0.9196428571428571,0.9279661016949152
18,0.963855421686747,0.9653614457831325,0.9608433734939759,0.9630613230323516,0.9896034524384354,0.9576291646547561,0.948051948051948,0.9509594882729211,0.9432314410480349
19,0.9338345864661655,0.9458646616541353,0.9323308270676691,0.9132596851087696,0.989718961580065,0.9090030447498096,0.8981481481481481,0.9181818181818182,0.8946135831381733
