Metric,Accuracy,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,AUROC,F1,F1,F1,F1
Model,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN,Metric,KernelMix,ExtraTrees,KNN
0,0.9857142857142858,0.9571428571428572,0.9785714285714285,0.9428571428571428,0.9841485507246376,0.997961956521739,0.9913949275362319,0.9266304347826088,0.9791666666666666,0.9347826086956522,0.968421052631579,0.9130434782608695
1,0.9285714285714286,0.9285714285714286,0.9357142857142857,0.9428571428571428,0.9157608695652174,0.9891304347826088,0.9795063405797101,0.9316123188405797,0.8936170212765957,0.8913043478260869,0.9052631578947369,0.9148936170212766
2,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9642857142857143,0.9574275362318841,0.9938858695652174,0.9901494565217391,0.9628623188405797,0.9387755102040817,0.9583333333333334,0.96,0.9484536082474226
3,0.95,0.95,0.9642857142857143,0.9642857142857143,0.9427001569858712,0.9964117515137922,0.9862076698811393,0.9536891679748822,0.9278350515463918,0.9230769230769231,0.9484536082474226,0.9473684210526315
4,0.9640287769784173,0.9424460431654677,0.9496402877697842,0.9496402877697842,0.9577609890109889,0.9917582417582417,0.987408424908425,0.9418498168498167,0.9473684210526315,0.9130434782608695,0.9263157894736842,0.9263157894736842
5,0.9571428571428572,0.9642857142857143,0.9785714285714285,0.9714285714285714,0.9524456521739131,0.9970561594202898,0.9942255434782609,0.9732789855072462,0.9375,0.946236559139785,0.9690721649484536,0.9591836734693877
6,0.9642857142857143,0.9642857142857143,0.9785714285714285,0.9642857142857143,0.9528985507246376,0.9966032608695652,0.9979619565217391,0.9528985507246376,0.946236559139785,0.946236559139785,0.968421052631579,0.946236559139785
7,0.9642857142857143,0.9142857142857143,0.9428571428571428,0.9571428571428572,0.9578804347826086,0.9920742753623187,0.9791666666666666,0.9524456521739131,0.9473684210526315,0.8636363636363636,0.9130434782608695,0.9375
8,0.9642857142857143,0.95,0.9714285714285714,0.9642857142857143,0.9583987441130298,0.9973088136353443,0.9974209464005382,0.9583987441130298,0.9484536082474226,0.9247311827956989,0.9583333333333334,0.9484536082474226
9,0.9640287769784173,0.9424460431654677,0.9568345323741008,0.920863309352518,0.9725274725274725,0.9906135531135531,0.9855769230769231,0.9100274725274725,0.9504950495049505,0.9148936170212766,0.9387755102040817,0.8842105263157894
